id,stepik_id,title,summary,url,difficulty,learners_count,rating,tags,embedding,created_at,updated_at,is_paid,price
3,278000,Математика для IT собеседований,"Подготовьтесь к собеседованиям на позиции аналитика, Data Scientist или ML-инженера с полным практическим курсом по статистике и теории вероятностей. Этот пакет объединяет два курса, которые помогут вам уверенно решать реальные задачи и понимать, как применять математические инструменты в IT и аналитике.",https://stepik.org/course/278000,normal,0,0,"[""Информационные технологии"",""Аналитика и исследование данных"",""Обработка и анализ данных"",""Наука о данных"",""Учебные и академические дисциплины"",""Математика и статистика"",""Подготовка к экзаменам"",""Выпускные экзамены в школе"",""Подготовка к ЕГЭ"",""Математика"",""Школьные предметы""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.296905+00:00,True,2390.0
5,277984,DevSecOps,"Практический курс по DevSecOps-инженерии. Пройдёте полный путь от основ безопасной разработки до автоматизированной CI/CD-инфраструктуры с встроенной защитой. Освоите контейнеризацию (Docker, Kubernetes), сканирование уязвимостей, автоматизацию безопасности (SAST/DAST), мониторинг и логирование (SIEM, ELK), настройте пайплайны с security-gates и обеспечите защищённость систем на каждом этапе.
",https://stepik.org/course/277984,,18,0,"[""Информационные технологии"",""Разработка программного обеспечения"",""DevOps и системное администрирование"",""Компьютерные сети""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.302962+00:00,True,12990.0
6,277939,Олимпиадная литература: лекции призера всероса и филолога ВШЭ,"17 лекций по литературе для олимпиадников от призера всероса и филолога НИУ ВШЭ. Курс будет полезен олимпиадникам с 8 по 11 класс, а также всем интересующимся литературой на глубоком уровне. 
",https://stepik.org/course/277939,easy,1,0,"[""Учебные и академические дисциплины"",""Подготовка к экзаменам"",""Олимпиады и спортивное программирование"",""Досуг"",""Чтение"",""Детям и подросткам"",""Школьные предметы"",""Литература""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.3062+00:00,True,3900.0
7,277938,ClickHouse: быстрый старт,"🚀 ClickHouse — самая популярная в мире аналитическая СУБД. Ее внедрило в свои процессы такое количество компаний, что перечислять их все просто не рационально. Изучение данного инструмента в современных реалиях рынка обязательно для аналитиков и инженеров данных. В данном курсе будет рассмотрена вся необходимая база - от аналитических фишек и специфических JOIN до 8192 и почему это сердце ClickHouse. Желаю успехов в обучении, поехали!",https://stepik.org/course/277938,,474,0,"[""Информационные технологии"",""Языки программирования"",""SQL"",""Базы данных"",""Аналитика и исследование данных"",""Обработка и анализ данных""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.308648+00:00,False,
4,277994,Математика для Data Science,"Освойте фундаментальные разделы высшей математики, необходимые для работы с данными, аналитики и машинного обучения. Этот пакет объединяет три курса, которые помогут вам построить прочный математический фундамент, понять работу с функциями, пределами и производными, а также применять эти знания в реальных проектах Data Science.",https://stepik.org/course/277994,normal,0,0,"[""Информационные технологии"",""Аналитика и исследование данных"",""Обработка и анализ данных"",""Наука о данных"",""Учебные и академические дисциплины"",""Математика и статистика"",""Технологии и инновации"",""Искусственный интеллект""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.299675+00:00,True,5490.0
15,277717,Нейросети для всех! Бесплатный курс.,"Хотите подружиться с нейросетями, но боитесь сложностей? Этот курс — ваш первый шаг. Мы простыми словами объясним, что такое ИИ и чем он отличается от обычного поисковика. Вы узнаете, как правильно «разговаривать» с нейросетями с помощью «промтов», чтобы они писали тексты, решали задачи по учебе, помогали в бизнесе и творчестве. Никакой магии — только практические примеры и готовые рецепты запросов, которые сэкономят ваше время.",https://stepik.org/course/277717,easy,85,0,"[""Личностный рост"",""Цифровая грамотность"",""Навыки работы с ИИ""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.32926+00:00,False,
10,277894,Основы нефтегазового дела,"Данный курс нацелен на получение базовых знаний в области нефтегазового дела. Слушатели изучат полный производственный цикл: от геологоразведки и бурения скважин до транспортировки и переработки углеводородов. В курсе разбираются ключевые технологические процессы, основы геологии и современное отраслевое оборудование. Курс подойдет для начинающих студентов, желающих систематизировать знания, а также для всех, кто хочет понять, как работает одна из ключевых отраслей мировой экономики и откуда берутся привычн",https://stepik.org/course/277894,,2,0,"[""Учебные и академические дисциплины"",""Естественные науки"",""Науки о Земле и экология""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.315938+00:00,True,199.0
13,277791,"Python в Minecraft: Код, который строит миры","Ты когда-нибудь думал, как устроен Minecraft изнутри? Каждый блок, каждый моб, каждая постройка — это тысячи строк кода. В этом курсе ты научишься писать такой код сам.
Никаких скучных учебников. Только живые задачи: телепортируй Стива, построй башню за секунду, создай детектор лавы, напиши умного торговца. Каждый урок — это маленькое приключение, где Python — твоё главное оружие.
Крипер-учитель проведёт тебя от самой первой команды print() до настоящих программ, которые управляют игрой в реальном времени.
",https://stepik.org/course/277791,easy,39,0,"[""Детям и подросткам"",""Информационные технологии"",""Языки программирования"",""Python"",""Разработка программного обеспечения"",""Разработка игр""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.32316+00:00,False,
14,277780,Excel ЕГЭ ИНФОРМАТИКА ЗАДАНИЯ 3 9 18 22,"Excel для новичков: первый шаг в мир данных
LibreOffice Calc
Научитесь работать в Excel без страха и ошибок. Всего за несколько занятий вы освоите интерфейс, научитесь форматировать таблицы, использовать автозаполнение и базовые формулы.",https://stepik.org/course/277780,,59,0,"[""Учебные и академические дисциплины"",""Информатика"",""Школьные предметы"",""Личностный рост"",""Цифровая грамотность"",""Microsoft Office"",""Excel и Google Таблицы"",""Подготовка к экзаменам"",""Выпускные экзамены в школе"",""Подготовка к ЕГЭ"",""Информационные технологии""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.325069+00:00,True,690.0
11,277871,"Введение в специальность ""Нефтегазовое дело""","Данный курс нацелен на получение базовых знаний о нефтегазовой отрасли: от геологии до транспортировки. Рассчитан на студентов и всех, кто хочет понять основы профессии и специфику работы с углеводородами.",https://stepik.org/course/277871,,2,0,"[""Учебные и академические дисциплины"",""Естественные науки"",""Науки о Земле и экология""]",,2026-03-12T17:48:50.113389+00:00,2026-03-14T11:24:35.318858+00:00,True,100.0
